tripduration,usertype
8.5,member
11.47790698,member
11.50512821,member
10.59466292,member
10.91525424,member
10.20540839,member
29.55909091,member
9.495945946,member
7.972277228,member
6.391610738,member
5.682166667,member
10.03792135,member
2.891666667,member
9.916954023,member
7.458333333,member
8.687878788,member
10.1,member
21.99401709,member
12.34047619,member
5.759090909,member
13.082,member
8.447916667,member
12.89166667,member
11.84206897,member
1.483333333,member
8.833333333,member
73.78888889,member
11.27692308,member
11.17256098,member
9.904166667,member
14.44888889,member
36.48684211,member
18.6952381,member
3.737174721,member
10.62894737,member
13.3,member
17.18888889,member
87.75416667,member
18.95,member
20.05166667,member
53.88809524,member
9.776666667,member
12.925,member
5.48125,member
2.505555556,member
3.933333333,member
18.58333333,member
54.92777778,member
20.67592593,member
26.89166667,member
-1.278333333,member
16.19444444,member
20.08530466,member
13.77555556,member
16.75,member
50.35,member
25.35277778,member
7.3125,member
17.23666667,member
19.61616162,member
11.94166667,member
10.90833333,member
11.82407407,member
3.170833333,member
14.96666667,member
29.86666667,member
6.505555556,member
6.60952381,member
17.83333333,member
12.23333333,member
29.46818182,member
20.51666667,member
10.80714286,member
19.25862069,member
8.719061303,member
8.366581633,member
0.087431694,member
9.353571429,member
2.308333333,member
-13.42642276,member
20.50277778,member
8.98030303,member
26.93055556,member
12.95474255,member
13.3209596,member
8.844942197,member
20.6230303,member
25.18307292,member
11.36737089,member
23.8962963,member
22.08680556,member
16.84897119,member
-4.812156863,member
32.15925926,member
33.69907407,member
15.40512821,member
3.30952381,member
8.708333333,member
23.875,member
9.716666667,member
8.05,member
7.341666667,member
10.54035088,member
10.33288288,member
4.724565972,member
9.805434783,member
8.859469697,member
-18.44012346,member
9.912130178,member
9.483333333,member
12.2712963,member
36.33333333,member
10.02222222,member
11.78888889,member
2.655555556,member
12.50416667,member
7.477333333,member
46.8125,member
11.44951691,member
14.15227273,member
-3.608247423,member
9.380272109,member
13.07575758,member
12.28898305,member
11.30524691,member
8.152564103,member
14.61175214,member
8.43313253,member
10.75489583,member
10.24479675,member
10.78888889,member
14.66728395,member
-10.76111111,member
